name,geometry
Amanjot Herbal India,POINT (77.069034 28.654694)
Cure Pharmacy,POINT (77.0319821 28.6180074)
Harinder Medical Store,POINT (77.0331654 28.6176812)
Zeelab Pharmacy,POINT (77.1104585 28.6227318)
