name,geometry
chemist shop,POINT (77.2075501 28.702617)
chemist,POINT (77.2164365 28.7134808)
Next Door Pharma,POINT (77.2081362 28.6781389)
Tata 1mg,POINT (77.2076675 28.6988678)
Jan Seva Medicos,POINT (77.2055105 28.6982076)
Zeelab Pharmacy,POINT (77.2081009 28.6996644)
Satyawati Pharmacy,POINT (77.1998614 28.6826449)
